Position(bp)	Rate(cM/Mb)	Map(cM)
16051347	8.096992	0.000000
16052618	8.131520	0.010291
16053624	8.131967	0.018472
16053659	8.132625	0.018756
16053758	8.129606	0.019561
16054713	8.024772	0.027325
16054960	8.026921	0.029307
16055070	5.683148	0.030190
16055171	5.685965	0.030764
16055207	5.689620	0.030969
16059734	4.419419	0.056726
16061016	4.418359	0.062391
16061342	4.420365	0.063832
16069374	4.310594	0.099336
16072292	4.298607	0.111915
16076927	4.299297	0.131839
16079493	4.299090	0.142871
16099437	4.311456	0.228612
16100059	4.324743	0.231293
16102325	4.328264	0.241093
16103902	4.328034	0.247919
16110036	4.328022	0.274467
16112336	4.333159	0.284422
16136814	4.347667	0.390489
16140628	4.393240	0.407071
16173179	4.396719	0.550075
16201033	4.396719	0.672541
16227431	4.406111	0.788606
16231423	4.406429	0.806195
16252600	4.410265	0.899510
16267521	3.666095	0.965315
16299536	4.406680	1.082685
16317416	4.413604	1.161477
16343553	4.413711	1.276835
16343811	4.413185	1.277974
16344414	4.413828	1.280635
16344572	4.413447	1.281333
16345582	4.323781	1.285790
16346071	4.234665	1.287904
16347194	4.159449	1.292660
16351379	3.611289	1.310067
16351604	2.747202	1.310880
16351852	2.584942	1.311561
16352357	1.672110	1.312867
16364825	1.663702	1.333714
16407120	0.111387	1.404081
16473585	0.111391	1.411484
16477443	0.113358	1.411914
16489239	0.123635	1.413251
16494095	0.123635	1.413851
16494187	0.134713	1.413863
16494473	0.133739	1.413901
16494682	0.119061	1.413929
16504399	0.114006	1.415086
16509940	0.114006	1.415718
16529569	0.113745	1.417956
16560750	0.113703	1.421502
16587208	0.113914	1.424511
16598987	0.115579	1.425852
16609899	0.133020	1.427114
16616145	0.161165	1.427944
16619031	0.210930	1.428410
16628321	0.248368	1.430369
16629152	0.288016	1.430576
16630874	0.340405	1.431071
16631921	0.340591	1.431428
16632034	0.340698	1.431466
16633820	0.415412	1.432075
16644918	0.415501	1.436685
16649282	0.410539	1.438498
16660797	0.421056	1.443226
16662015	0.431139	1.443739
16682084	0.674364	1.452391
16690041	0.789844	1.457757
16851640	0.502016	1.585395
16852708	0.495982	1.585931
16853706	0.510451	1.586426
16854402	0.602409	1.586781
16855274	2.680401	1.587307
16855303	2.691935	1.587384
16855476	0.858770	1.587850
16855618	0.417739	1.587972
16855788	0.385155	1.588043
16856188	0.344968	1.588197
16858253	0.285113	1.588910
16858287	0.224307	1.588919
16858684	0.194746	1.589008
16858968	0.179155	1.589064
16862245	0.179703	1.589651
16863070	2.247072	1.589799
16865262	2.847633	1.594725
16870393	1.906357	1.609336
16871440	2.538908	1.611332
16877135	2.177389	1.625791
16878039	1.442670	1.627759
16878423	0.522005	1.628313
16879530	0.387496	1.628891
16886974	0.387302	1.631776
16888577	0.390984	1.632396
16888900	0.396414	1.632523
16890125	0.397306	1.633008
16890296	0.397743	1.633076
16890307	0.396660	1.633081
16890816	0.397362	1.633282
16893449	0.407830	1.634329
16894090	0.414406	1.634590
16894264	0.419886	1.634662
16896164	0.478885	1.635460
16896210	0.538141	1.635482
16896762	1.890197	1.635779
16896882	1.909846	1.636006
16900134	2.637730	1.642217
16902425	2.697915	1.648260
16905893	2.867112	1.657616
16911574	2.941674	1.673904
16911828	1.120356	1.674651
16915707	2.190194	1.678997
16915998	3.607607	1.679635
16918335	2.492306	1.688066
16918847	1.481833	1.689342
16918867	0.135454	1.689371
16937131	0.136415	1.691845
16938376	0.137668	1.692015
16952978	0.141559	1.694025
16953120	0.144760	1.694045
16957305	0.145433	1.694651
16963545	0.152108	1.695559
16966809	0.167663	1.696055
16970900	0.180239	1.696741
16973226	0.184819	1.697160
16983606	0.200334	1.699079
16989290	0.198220	1.700217
16990420	0.194975	1.700441
16990526	0.194920	1.700462
17030710	0.194920	1.708295
17030792	0.231395	1.708311
17031072	0.282442	1.708376
17032698	0.526761	1.708835
17049825	0.607275	1.717857
17049907	0.830586	1.717906
17050088	1.064583	1.718057
17054720	1.211849	1.722988
17056022	1.409344	1.724566
17057138	1.545805	1.726139
17057597	1.726998	1.726848
17063359	2.280147	1.736799
17065079	2.686375	1.740721
17066732	6.100022	1.745161
17067504	6.296018	1.749871
17068748	6.240586	1.757703
17070109	6.155402	1.766196
17071043	3.737010	1.771946
17072483	2.522424	1.777327
17073066	1.740407	1.778797
17075353	1.748623	1.782778
17080378	1.789893	1.791565
17084609	0.770033	1.799138
17084762	0.610793	1.799255
17087656	0.624754	1.801023
17087705	0.637665	1.801054
17089639	7.823516	1.802287
17090474	7.820101	1.808820
17093947	0.624284	1.835979
17094749	0.615534	1.836479
17096707	0.602538	1.837685
17096864	0.587452	1.837779
17097416	0.526627	1.838103
17099107	0.389350	1.838994
17100497	0.371648	1.839535
17100911	0.337942	1.839689
17101987	0.304269	1.840053
17102604	0.265672	1.840240
17103078	0.225719	1.840366
17103717	0.211207	1.840511
17105666	0.206742	1.840922
17106294	0.205703	1.841052
17107266	0.200503	1.841252
17107330	0.158351	1.841265
17108619	0.155678	1.841469
17109150	0.105671	1.841552
17112280	0.077271	1.841882
17112342	0.048443	1.841887
17116233	0.048357	1.842076
17121886	0.048268	1.842349
17123478	0.048306	1.842426
17124307	0.048305	1.842466
17130409	0.048317	1.842761
17132490	0.048317	1.842861
17136658	0.048317	1.843063
17139227	0.048311	1.843187
17140023	0.048316	1.843225
17140593	0.048343	1.843253
17149033	0.142928	1.843661
17149300	0.276035	1.843699
17152611	0.299350	1.844613
17154984	1.115393	1.845323
17154992	1.705667	1.845332
17155383	1.799095	1.845999
17159670	1.799258	1.853712
17161286	2.056472	1.856619
17164372	2.084565	1.862966
17164478	2.119394	1.863187
17164773	5.102371	1.863812
17169522	3.646115	1.888043
17171377	3.434844	1.894807
17173913	3.057959	1.903517
17175288	3.054846	1.907722
17177075	3.479920	1.913181
17177470	3.589543	1.914556
17177794	3.591621	1.915719
17177906	3.592144	1.916121
17178015	3.595969	1.916512
17178213	3.715263	1.917224
17178230	3.884287	1.917288
17178332	4.300716	1.917684
17178586	5.091182	1.918776
17180510	7.248532	1.928572
17183103	4.446112	1.947367
17186728	4.442935	1.963484
17187276	4.438812	1.965919
17187577	4.438378	1.967255
17187689	2.794843	1.967752
17187719	1.054840	1.967836
17188058	0.710201	1.968194
17189132	0.701063	1.968956
17189194	0.691626	1.969000
17189718	0.692062	1.969362
17190111	0.686922	1.969634
17190683	1.912742	1.970027
17190719	4.090938	1.970096
17190730	4.079437	1.970141
17192143	4.201852	1.975905
17195268	0.723385	1.989036
17195679	0.441374	1.989333
17195867	0.517923	1.989416
17196300	0.361777	1.989640
17198998	0.361543	1.990617
17200597	0.361500	1.991195
17202602	0.215436	1.991919
17203103	0.132189	1.992027
17206030	0.132928	1.992414
17206496	0.134687	1.992476
17210318	0.138067	1.992991
17211075	0.143065	1.993096
17211341	0.144922	1.993134
17211440	0.144932	1.993148
17211973	0.147597	1.993225
17212113	0.152020	1.993246
17212553	0.157543	1.993313
17212992	0.162426	1.993382
17213298	0.168772	1.993432
17214252	0.175762	1.993593
17214669	0.176340	1.993666
17215732	0.176477	1.993853
17216894	0.180125	1.994058
17217201	0.186774	1.994114
17219250	0.193008	1.994496
17219356	0.197508	1.994517
17219625	0.206126	1.994570
17220001	0.216076	1.994648
17221495	0.299257	1.994970
17221812	0.664305	1.995065
17222785	0.651632	1.995712
17222962	0.600498	1.995827
17223562	0.405350	1.996187
17223938	0.368941	1.996340
17225174	0.388116	1.996796
17225193	0.412154	1.996803
17225319	0.472105	1.996855
17225407	0.575494	1.996896
17225715	1.004359	1.997074
17225903	1.098498	1.997263
17225950	1.223143	1.997314
17227403	1.212293	1.999091
17227461	1.208005	1.999162
17227600	1.203375	1.999330
17228796	1.228500	2.000769
17229968	1.283161	2.002209
17231133	2.976105	2.003704
17231512	4.982717	2.004832
17231603	7.632862	2.005285
17231719	8.314043	2.006170
17234497	0.571592	2.029267
17238270	0.942803	2.031423
17238335	1.465457	2.031485
17238906	2.349914	2.032321
17241459	0.584066	2.038321
17243464	0.581366	2.039492
17244600	0.575628	2.040152
17244734	0.569650	2.040229
17245309	0.568180	2.040557
17245340	0.566767	2.040575
17246329	0.566791	2.041135
17254399	0.568049	2.045709
17255296	0.568722	2.046219
17255527	0.568831	2.046350
17255752	0.569222	2.046478
17256231	0.570144	2.046751
17257198	0.589215	2.047302
17257295	0.589120	2.047359
17258201	0.727684	2.047893
17258313	0.727625	2.047974
17258797	0.727684	2.048327
17258808	1.135237	2.048335
17259954	1.018711	2.049636
17260536	1.018972	2.050228
17261026	0.936919	2.050728
17262699	0.860281	2.052295
17263854	0.854230	2.053289
17264565	0.621432	2.053896
17264904	0.553116	2.054107
17265124	0.524075	2.054229
17265194	0.501784	2.054265
17266361	0.407089	2.054851
17266625	0.289942	2.054958
17266949	0.240937	2.055052
17267006	0.205153	2.055066
17267459	0.206512	2.055159
17268016	0.611865	2.055274
17268152	0.921924	2.055357
17268998	0.466364	2.056137
17269076	0.205129	2.056173
17270198	0.257436	2.056404
17270265	0.339832	2.056421
17270487	0.706253	2.056496
17271652	1.103143	2.057319
17271703	1.857798	2.057375
17271714	2.669608	2.057396
17271842	2.951526	2.057737
17272246	2.844568	2.058930
17273178	3.171855	2.061581
17273468	3.641332	2.062501
17273728	27.815289	2.063448
17274435	61.902798	2.083113
17275394	6.136177	2.142478
17278762	0.471549	2.163144
17280345	0.410691	2.163891
17280822	0.407153	2.164087
17281110	0.405143	2.164204
17281392	0.405244	2.164318
17281931	0.403950	2.164537
17282549	0.403561	2.164786
17283102	0.403700	2.165010
17283820	0.404679	2.165299
17284065	0.405434	2.165399
17284363	0.405758	2.165519
17284540	0.405321	2.165591
17285049	0.400761	2.165797
17285419	0.398798	2.165946
17285949	0.397616	2.166157
17286147	0.396868	2.166236
17286329	0.396265	2.166308
17286712	0.395767	2.166460
